Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
2007,30,666,28.7,4.80,4.47,4862,0.98,0.02,0.01,0.05,0.25,8.93,9.25,4.80,4.44,1.02,3.31,0.27,6.62,0.36,0.03,0.31,38.80,101,1.406,.302,9.3,1.0,3.3,6.7,2.00,0.61
2006,30,635,28.8,4.86,4.53,4858,0.97,0.03,0.01,0.05,0.25,8.90,9.28,4.86,4.48,1.11,3.26,0.29,6.52,0.37,0.03,0.31,38.71,100,1.408,.301,9.4,1.1,3.3,6.6,2.00,0.63
2005,30,606,29.2,4.59,4.29,4862,0.96,0.04,0.01,0.05,0.26,8.89,9.05,4.59,4.24,1.03,3.13,0.25,6.30,0.37,0.03,0.30,38.32,101,1.369,.295,9.2,1.0,3.2,6.4,2.02,0.63
2004,30,632,29.1,4.81,4.46,4856,0.97,0.03,0.01,0.05,0.25,8.94,9.17,4.81,4.43,1.12,3.34,0.28,6.55,0.38,0.03,0.30,38.83,101,1.400,.297,9.2,1.1,3.4,6.6,1.96,0.65
2003,30,612,28.7,4.73,4.40,4860,0.96,0.04,0.01,0.05,0.25,8.92,9.07,4.73,4.36,1.07,3.27,0.27,6.34,0.38,0.03,0.32,38.57,101,1.383,.294,9.1,1.1,3.3,6.4,1.94,0.65
2002,30,609,28.8,4.62,4.28,4852,0.96,0.04,0.02,0.06,0.25,8.92,8.92,4.62,4.24,1.04,3.35,0.30,6.47,0.36,0.03,0.31,38.46,101,1.376,.293,9.0,1.1,3.4,6.5,1.93,0.66
2001,30,591,28.7,4.78,4.42,4858,0.96,0.04,0.02,0.05,0.25,8.91,9.03,4.78,4.37,1.12,3.25,0.28,6.67,0.39,0.03,0.31,38.49,100,1.379,.296,9.1,1.1,3.3,6.7,2.05,0.69
2000,30,606,28.8,5.14,4.77,4858,0.95,0.05,0.01,0.04,0.24,8.90,9.31,5.14,4.72,1.17,3.75,0.25,6.45,0.32,0.03,0.31,39.16,101,1.468,.300,9.4,1.2,3.8,6.5,1.72,0.71
1999,30,585,28.8,5.08,4.71,4856,0.95,0.05,0.01,0.04,0.25,8.90,9.33,5.08,4.66,1.14,3.68,0.23,6.41,0.33,0.04,0.34,39.06,101,1.463,.302,9.4,1.2,3.7,6.5,1.74,0.72
1998,30,557,28.8,4.79,4.43,4864,0.94,0.06,0.02,0.05,0.26,8.93,9.15,4.79,4.40,1.04,3.38,0.22,6.56,0.33,0.04,0.33,38.71,101,1.403,.299,9.2,1.0,3.4,6.6,1.94,0.71
